 no_of_dependents, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, loan_status, education_ Graduate, education_ Not Graduate, self_employed_ No, self_employed_ Yes,loan_status_encoded
1,8800000,30200000,18,897,17100000,7900000,28700000,Approved,0.0,1.0,1.0,0.0,1
5,7000000,24000000,6,336,2300000,11900000,27500000,Rejected,0.0,1.0,0.0,1.0,0
0,6100000,19900000,20,761,4500000,3700000,12700000,Approved,1.0,0.0,0.0,1.0,1
4,7800000,25400000,18,425,3000000,14000000,30500000,Rejected,1.0,0.0,1.0,0.0,0
2,4800000,17500000,20,381,400000,6900000,13400000,Rejected,1.0,0.0,0.0,1.0,0
3,4900000,19000000,4,575,14100000,9100000,16500000,Approved,0.0,1.0,0.0,1.0,1
2,6700000,22700000,18,538,15300000,5800000,20400000,Rejected,0.0,1.0,0.0,1.0,0
2,1200000,4600000,20,605,3600000,1500000,4600000,Approved,1.0,0.0,0.0,1.0,1
3,5900000,23200000,2,307,15500000,10000000,21100000,Approved,0.0,1.0,1.0,0.0,1
2,2700000,5900000,14,662,3200000,1600000,7300000,Approved,0.0,1.0,1.0,0.0,1
3,1900000,5900000,8,651,700000,2100000,6200000,Approved,1.0,0.0,0.0,1.0,1
0,9400000,20000000,6,389,16000000,7100000,19400000,Rejected,1.0,0.0,0.0,1.0,0
2,6200000,16500000,4,510,14100000,4700000,18200000,Rejected,0.0,1.0,0.0,1.0,0
4,8600000,26700000,10,895,2200000,8800000,22600000,Approved,0.0,1.0,1.0,0.0,1
3,7500000,17900000,2,680,7000000,11800000,25000000,Approved,1.0,0.0,0.0,1.0,1
2,7700000,19700000,14,885,19900000,14600000,22000000,Approved,1.0,0.0,0.0,1.0,1
0,7200000,15600000,2,362,2700000,2400000,20800000,Rejected,0.0,1.0,0.0,1.0,0
3,8600000,32000000,4,497,11400000,3300000,18600000,Approved,0.0,1.0,0.0,1.0,1
5,9200000,28800000,20,618,14300000,10800000,33900000,Approved,1.0,0.0,0.0,1.0,1
1,8000000,30600000,10,720,23700000,8500000,24900000,Approved,1.0,0.0,0.0,1.0,1
0,5200000,18400000,14,600,7300000,9700000,16500000,Approved,0.0,1.0,1.0,0.0,1
3,3300000,8500000,12,586,7500000,5100000,7800000,Approved,1.0,0.0,0.0,1.0,1
0,3600000,13400000,6,589,3600000,0,11200000,Approved,0.0,1.0,0.0,1.0,1
5,6700000,17700000,6,482,3200000,10400000,18500000,Rejected,1.0,0.0,1.0,0.0,0
5,5100000,13700000,14,527,12100000,8900000,19400000,Rejected,0.0,1.0,0.0,1.0,0
2,2800000,10100000,16,531,2900000,2900000,7200000,Rejected,0.0,1.0,0.0,1.0,0
0,6100000,19200000,6,890,13900000,5900000,16700000,Approved,1.0,0.0,0.0,1.0,1
2,1500000,4500000,14,826,3200000,1700000,4600000,Approved,0.0,1.0,0.0,1.0,1
2,3100000,10700000,16,357,9200000,1900000,7700000,Rejected,0.0,1.0,0.0,1.0,0
0,9800000,29400000,20,618,1200000,14600000,33800000,Approved,0.0,1.0,1.0,0.0,1
0,1900000,6700000,12,595,3000000,3200000,4900000,Approved,0.0,1.0,1.0,0.0,1
3,5300000,19500000,4,591,13200000,4700000,19800000,Approved,0.0,1.0,0.0,1.0,1
3,3800000,12100000,20,364,4100000,5100000,11600000,Rejected,1.0,0.0,1.0,0.0,0
5,5700000,11600000,4,892,10200000,6100000,19800000,Approved,0.0,1.0,1.0,0.0,1
4,8900000,26300000,10,369,23900000,7000000,27400000,Rejected,1.0,0.0,0.0,1.0,0
0,2500000,5800000,18,494,5100000,4400000,8500000,Rejected,1.0,0.0,0.0,1.0,0
5,6100000,17800000,6,849,2900000,10900000,16100000,Approved,1.0,0.0,1.0,0.0,1
3,5500000,20400000,10,546,10600000,8200000,13500000,Rejected,0.0,1.0,0.0,1.0,0
5,1800000,5300000,12,461,2800000,2000000,4700000,Rejected,1.0,0.0,0.0,1.0,0
0,9200000,25400000,2,783,25400000,2000000,19600000,Approved,1.0,0.0,1.0,0.0,1
4,9400000,25700000,14,845,27300000,4100000,26500000,Approved,0.0,1.0,0.0,1.0,1
0,5800000,21800000,2,561,4400000,7200000,15000000,Approved,1.0,0.0,0.0,1.0,1
0,800000,2300000,16,739,1800000,600000,2000000,Approved,0.0,1.0,1.0,0.0,1
3,8700000,31100000,16,760,400000,1800000,19300000,Rejected,1.0,0.0,1.0,0.0,0
5,4900000,15900000,8,505,12400000,4900000,14900000,Rejected,0.0,1.0,0.0,1.0,0
2,7000000,19800000,10,563,3900000,9400000,22800000,Approved,1.0,0.0,1.0,0.0,1
4,4600000,9500000,20,613,5200000,5900000,13700000,Approved,0.0,1.0,0.0,1.0,1
5,2700000,8300000,8,833,4600000,1300000,6800000,Approved,0.0,1.0,1.0,0.0,1
3,5300000,17900000,2,580,10200000,6400000,11600000,Approved,1.0,0.0,0.0,1.0,1
1,8100000,28400000,6,744,20300000,10500000,21800000,Approved,1.0,0.0,1.0,0.0,1
4,7200000,16900000,4,702,15900000,7100000,22000000,Approved,1.0,0.0,1.0,0.0,1
3,700000,1700000,8,733,1200000,800000,2400000,Approved,0.0,1.0,0.0,1.0,1
4,3200000,8400000,18,802,400000,0,9100000,Approved,1.0,0.0,1.0,0.0,1
2,4800000,16500000,10,350,2000000,6500000,11400000,Rejected,0.0,1.0,0.0,1.0,0
3,9200000,28900000,8,538,13900000,8300000,32400000,Rejected,0.0,1.0,0.0,1.0,0
4,3800000,8900000,4,844,9100000,3500000,13100000,Approved,1.0,0.0,1.0,0.0,1
3,9200000,35000000,4,716,1100000,10200000,33600000,Approved,0.0,1.0,0.0,1.0,1
0,4100000,10700000,8,855,11500000,700000,11200000,Approved,1.0,0.0,1.0,0.0,1
4,7600000,20800000,12,775,1900000,13600000,19200000,Approved,0.0,1.0,1.0,0.0,1
4,6600000,25400000,12,622,9200000,3500000,19900000,Approved,0.0,1.0,1.0,0.0,1
5,3900000,14000000,4,708,700000,1800000,15600000,Approved,0.0,1.0,1.0,0.0,1
1,5600000,11700000,6,707,4500000,800000,19000000,Approved,1.0,0.0,0.0,1.0,1
3,9500000,24200000,8,879,3100000,17200000,26400000,Approved,0.0,1.0,0.0,1.0,1
2,8000000,31200000,8,553,6800000,3500000,21000000,Approved,1.0,0.0,0.0,1.0,1
0,1300000,3900000,16,690,3600000,1700000,4700000,Approved,0.0,1.0,1.0,0.0,1
2,8200000,27800000,16,827,11500000,8700000,26000000,Approved,0.0,1.0,0.0,1.0,1
0,7300000,16100000,2,490,7600000,1400000,21800000,Rejected,1.0,0.0,1.0,0.0,0
2,4400000,9800000,18,712,5400000,200000,8800000,Approved,1.0,0.0,1.0,0.0,1
3,6400000,24400000,4,483,7800000,2400000,19100000,Approved,0.0,1.0,1.0,0.0,1
0,4600000,14800000,6,433,12100000,4600000,11100000,Rejected,0.0,1.0,0.0,1.0,0
2,2400000,6200000,12,860,4900000,3700000,9500000,Approved,0.0,1.0,1.0,0.0,1
